model,k,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,n_samples
DenseNet121,1,0.29965156794425085,0.45810534353225224,0.2735191637630662,0.32665505226480834,0.004169140555951378,0.007192471014594965,0.0037840322443340475,0.00457464049305359,1148
DenseNet121,5,0.27630662020905916,0.2248412914312659,0.26323606271777,0.29059233449477356,0.01937604779247534,0.01574384512300321,0.01850495878985323,0.020305544252305883,1148
DenseNet121,10,0.27604529616724743,0.17804407130833697,0.2658493031358885,0.28737151567944247,0.03863428006182668,0.02256554114669333,0.03726769909808826,0.039916611474692026,1148
DenseNet121,20,0.2693379790940767,0.14441006045657875,0.26045078397212545,0.2774825783972125,0.07527339318049504,0.030789973164965852,0.07361272334918958,0.0769066771356239,1148
DenseNet121,50,0.2562020905923345,0.10996452197500065,0.24992944250871077,0.2625984320557492,0.17945583590951494,0.03588774494691323,0.17753034678797516,0.18147955312519,1148
ResNet50,1,0.3118466898954704,0.46324759243487573,0.2874564459930314,0.33797909407665505,0.004442655215098339,0.007455795002454211,0.004054142216611472,0.004891006499014031,1148
ResNet50,5,0.2782229965156795,0.22379288060267355,0.26462979094076655,0.29042247386759584,0.019734409294257623,0.016248669857435217,0.018743481953444288,0.02062207662666901,1148
ResNet50,10,0.2655923344947735,0.17080180154677324,0.256008275261324,0.27595818815331014,0.03776218117015411,0.022508344520827294,0.03647342821587672,0.03917429045570698,1148
ResNet50,20,0.255705574912892,0.13442719000049455,0.2481228222996516,0.26354638501742156,0.07223134042026233,0.0297494736387495,0.07054957209327341,0.07385849807141953,1148
ResNet50,50,0.2500348432055749,0.11060334457532102,0.2439189895470383,0.2562369337979094,0.17469755882340426,0.039182684580410514,0.17266373116893202,0.17703641156535577,1148
VGG16,1,0.2865853658536585,0.45216611320640027,0.2621951219512195,0.3127177700348432,0.003970800849003349,0.00704585379346196,0.0035654827258191166,0.004355386945793536,1148
VGG16,5,0.270383275261324,0.22829666071845206,0.2569686411149826,0.28397648083623694,0.01892950790906315,0.016261362819312956,0.017984645025406455,0.01984392012224944,1148
VGG16,10,0.2665505226480836,0.17549219005842923,0.2566202090592335,0.2765701219512195,0.03714491998592224,0.021774122877638653,0.03585750620344031,0.03835300268220692,1148
VGG16,20,0.2618031358885017,0.1429912143347478,0.25261215156794425,0.26990635888501746,0.07266257660037123,0.028668537855781287,0.07093944132531062,0.07444657677277706,1148
VGG16,50,0.2533449477351916,0.11568142078825623,0.2464455574912892,0.2601581010452962,0.17614345613167093,0.03853362630644157,0.17385023664979854,0.17840905274972194,1148
