model,index_type,query_idx,query_label,k,precision,recall,ndcg,search_time_mean,search_time_std,total_relevant_in_db,relevant_retrieved,retrieved_labels
DenseNet121_AdvancedFT,FlatL2,0,2,1,0.0,0.0,0.0,0.0004815553333333333,0.0006366346898917429,40,0,[4]
DenseNet121_AdvancedFT,FlatL2,0,2,5,0.2,0.025,0.5,7.9278e-05,7.443794839103685e-05,40,1,"[4, 5, 2, 4, 5]"
DenseNet121_AdvancedFT,FlatL2,0,2,10,0.2,0.05,0.5249810332008933,2.8624666666666667e-05,1.8320248057515184e-06,40,2,"[4, 5, 2, 4, 5]"
DenseNet121_AdvancedFT,FlatL2,0,2,20,0.15,0.075,0.5086406222393707,3.7097333333333335e-05,9.496896838207499e-06,40,3,"[4, 5, 2, 4, 5]"
DenseNet121_AdvancedFT,FlatL2,0,2,50,0.12,0.15,0.5129684338749321,3.633333333333333e-05,9.36601421215141e-06,40,6,"[4, 5, 2, 4, 5]"
DenseNet121_AdvancedFT,FlatL2,1,1,1,1.0,0.009259259259259259,1.0,2.5153e-05,1.043065034725384e-06,108,1,[1]
DenseNet121_AdvancedFT,FlatL2,1,1,5,0.6,0.027777777777777776,0.9469024295259745,2.540333333333333e-05,5.856883888971071e-07,108,3,"[1, 1, 2, 2, 1]"
DenseNet121_AdvancedFT,FlatL2,1,1,10,0.4,0.037037037037037035,0.9178287402913377,2.6014333333333333e-05,5.197341200609747e-07,108,4,"[1, 1, 2, 2, 1]"
DenseNet121_AdvancedFT,FlatL2,1,1,20,0.35,0.06481481481481481,0.8458342370786635,2.7153e-05,4.6331486773755347e-07,108,7,"[1, 1, 2, 2, 1]"
DenseNet121_AdvancedFT,FlatL2,1,1,50,0.42,0.19444444444444445,0.7948776111531575,2.859733333333333e-05,1.0573086377948285e-06,108,21,"[1, 1, 2, 2, 1]"
DenseNet121_AdvancedFT,FlatL2,2,3,1,0.0,0.0,0.0,2.4625333333333333e-05,4.0101731744263727e-07,34,0,[1]
DenseNet121_AdvancedFT,FlatL2,2,3,5,0.2,0.029411764705882353,0.5,2.5583e-05,3.679900360969936e-07,34,1,"[1, 1, 3, 1, 1]"
DenseNet121_AdvancedFT,FlatL2,2,3,10,0.1,0.029411764705882353,0.5,2.6263666666666667e-05,8.728590315101797e-07,34,1,"[1, 1, 3, 1, 1]"
DenseNet121_AdvancedFT,FlatL2,2,3,20,0.2,0.11764705882352941,0.49549484775053565,2.537533333333333e-05,5.9342078007281e-07,34,4,"[1, 1, 3, 1, 1]"
DenseNet121_AdvancedFT,FlatL2,2,3,50,0.12,0.17647058823529413,0.505508307830583,2.6458666666666668e-05,9.837853198516207e-07,34,6,"[1, 1, 3, 1, 1]"
DenseNet121_AdvancedFT,FlatL2,3,1,1,1.0,0.009259259259259259,1.0,2.261133333333333e-05,3.1614483319446413e-07,108,1,[1]
DenseNet121_AdvancedFT,FlatL2,3,1,5,0.8,0.037037037037037035,0.9558295932317544,2.3208333333333333e-05,3.1180478223116176e-07,108,4,"[1, 1, 2, 1, 1]"
DenseNet121_AdvancedFT,FlatL2,3,1,10,0.5,0.046296296296296294,0.9284591831945489,2.4291333333333332e-05,3.0218353510555283e-07,108,5,"[1, 1, 2, 1, 1]"
