model,index_type,query_idx,query_label,k,precision,recall,ndcg,search_time_mean,search_time_std,total_relevant_in_db,relevant_retrieved,retrieved_labels
DenseNet121,FlatL2,0,2,1,0.0,0.0,0.0,0.00013830533333333335,7.448458822393321e-05,40,0,[1]
DenseNet121,FlatL2,0,2,5,0.2,0.025,0.38685280723454163,2.411133333333333e-05,1.4441431908074615e-06,40,1,"[1, 4, 3, 5, 2]"
DenseNet121,FlatL2,0,2,10,0.2,0.05,0.4415801103577823,2.3972e-05,8.115791191662503e-07,40,2,"[1, 4, 3, 5, 2]"
DenseNet121,FlatL2,0,2,20,0.1,0.05,0.4415801103577823,2.4361e-05,7.590524795207948e-07,40,2,"[1, 4, 3, 5, 2]"
DenseNet121,FlatL2,0,2,50,0.12,0.15,0.4671006946820749,2.5402666666666666e-05,1.0761184362740415e-06,40,6,"[1, 4, 3, 5, 2]"
DenseNet121,FlatL2,1,1,1,0.0,0.0,0.0,2.1875e-05,2.9680408802216094e-07,108,0,[3]
DenseNet121,FlatL2,1,1,5,0.2,0.009259259259259259,0.38685280723454163,2.2694666666666668e-05,3.0721798269126254e-07,108,1,"[3, 5, 2, 5, 1]"
DenseNet121,FlatL2,1,1,10,0.1,0.009259259259259259,0.38685280723454163,2.3208e-05,3.243084951092093e-07,108,1,"[3, 5, 2, 5, 1]"
DenseNet121,FlatL2,1,1,20,0.25,0.046296296296296294,0.468546134322728,2.4375e-05,4.757842648371914e-07,108,5,"[3, 5, 2, 5, 1]"
DenseNet121,FlatL2,1,1,50,0.28,0.12962962962962962,0.5658645489947982,2.5319333333333333e-05,8.555393360655929e-07,108,14,"[3, 5, 2, 5, 1]"
DenseNet121,FlatL2,2,3,1,0.0,0.0,0.0,2.1736e-05,1.5697770542341354e-07,34,0,[1]
DenseNet121,FlatL2,2,3,5,0.2,0.029411764705882353,0.6309297535714575,2.2805666666666667e-05,2.975727735454901e-07,34,1,"[1, 3, 1, 2, 1]"
DenseNet121,FlatL2,2,3,10,0.1,0.029411764705882353,0.6309297535714575,2.3027666666666666e-05,3.2666020401770536e-07,34,1,"[1, 3, 1, 2, 1]"
DenseNet121,FlatL2,2,3,20,0.05,0.029411764705882353,0.6309297535714575,2.3791666666666668e-05,3.242656661168774e-07,34,1,"[1, 3, 1, 2, 1]"
DenseNet121,FlatL2,2,3,50,0.12,0.17647058823529413,0.4962434591203901,2.4875e-05,7.595748811012644e-07,34,6,"[1, 3, 1, 2, 1]"
DenseNet121,FlatL2,3,1,1,0.0,0.0,0.0,2.1639e-05,2.5750469251387763e-07,108,0,[4]
DenseNet121,FlatL2,3,1,5,0.2,0.009259259259259259,0.38685280723454163,2.106966666666667e-05,3.485602131945386e-07,108,1,"[4, 2, 4, 5, 1]"
DenseNet121,FlatL2,3,1,10,0.3,0.027777777777777776,0.4860089900278707,2.1847333333333333e-05,1.869925726391886e-07,108,3,"[4, 2, 4, 5, 1]"
DenseNet121,FlatL2,3,1,20,0.15,0.027777777777777776,0.4860089900278707,2.2610666666666667e-05,3.945971222511498e-07,108,3,"[4, 2, 4, 5, 1]"
DenseNet121,FlatL2,3,1,50,0.4,0.18518518518518517,0.6228973545487861,2.3902666666666667e-05,7.908115381612037e-07,108,20,"[4, 2, 4, 5, 1]"
DenseNet121,FlatL2,4,2,1,0.0,0.0,0.0,2.0541666666666667e-05,3.0218353510555283e-07,40,0,[4]
DenseNet121,FlatL2,4,2,5,0.0,0.0,0.0,2.125e-05,2.567969366380111e-07,40,0,"[4, 4, 3, 5, 1]"
DenseNet121,FlatL2,4,2,10,0.2,0.05,0.4227898344066503,2.1916666666666666e-05,2.454782180877879e-07,40,2,"[4, 4, 3, 5, 1]"
DenseNet121,FlatL2,4,2,20,0.1,0.05,0.4227898344066503,2.3485666666666668e-05,4.1568043281133914e-07,40,2,"[4, 4, 3, 5, 1]"
DenseNet121,FlatL2,4,2,50,0.14,0.175,0.44511835619469103,2.5736333333333333e-05,7.656353933534914e-07,40,7,"[4, 4, 3, 5, 1]"
DenseNet121,FlatL2,5,3,1,0.0,0.0,0.0,2.0291666666666667e-05,2.6522233859328083e-07,34,0,[5]
DenseNet121,FlatL2,5,3,5,0.2,0.029411764705882353,0.38685280723454163,2.119433333333333e-05,1.2889616837680718e-07,34,1,"[5, 5, 4, 2, 3]"
DenseNet121,FlatL2,5,3,10,0.1,0.029411764705882353,0.38685280723454163,2.1555666666666668e-05,2.4124169530899e-07,34,1,"[5, 5, 4, 2, 3]"
DenseNet121,FlatL2,5,3,20,0.15,0.08823529411764706,0.40744234714407535,2.2388666666666668e-05,4.305611325803676e-07,34,3,"[5, 5, 4, 2, 3]"
DenseNet121,FlatL2,5,3,50,0.16,0.23529411764705882,0.47777075790604123,2.384766666666667e-05,5.209352700245546e-07,34,8,"[5, 5, 4, 2, 3]"
DenseNet121,FlatL2,6,5,1,0.0,0.0,0.0,2.036133333333333e-05,1.9329827268297621e-07,56,0,[2]
DenseNet121,FlatL2,6,5,5,0.4,0.03571428571428571,0.5706417189553201,2.229166666666667e-05,1.2968159297122917e-06,56,2,"[2, 1, 5, 5, 4]"
DenseNet121,FlatL2,6,5,10,0.4,0.07142857142857142,0.6039848603939605,2.2652666666666667e-05,1.9924245419979036e-07,56,4,"[2, 1, 5, 5, 4]"
DenseNet121,FlatL2,6,5,20,0.35,0.125,0.6281040604835539,2.313866666666667e-05,5.456166745578397e-07,56,7,"[2, 1, 5, 5, 4]"
DenseNet121,FlatL2,6,5,50,0.28,0.25,0.6573528187807465,2.409733333333333e-05,6.419035926229283e-07,56,14,"[2, 1, 5, 5, 4]"
DenseNet121,FlatL2,7,1,1,0.0,0.0,0.0,2.034733333333333e-05,2.266573527498183e-07,108,0,[4]
DenseNet121,FlatL2,7,1,5,0.2,0.009259259259259259,0.38685280723454163,2.090233333333333e-05,1.9329827268297621e-07,108,1,"[4, 2, 2, 3, 1]"
DenseNet121,FlatL2,7,1,10,0.4,0.037037037037037035,0.5260721334578811,2.1652666666666667e-05,2.3881140862381116e-07,108,4,"[4, 2, 2, 3, 1]"
DenseNet121,FlatL2,7,1,20,0.3,0.05555555555555555,0.5608880142898927,2.2847e-05,2.050820973821622e-07,108,6,"[4, 2, 2, 3, 1]"
DenseNet121,FlatL2,7,1,50,0.28,0.12962962962962962,0.6092200493838238,2.368066666666667e-05,7.578805241519859e-07,108,14,"[4, 2, 2, 3, 1]"
DenseNet121,FlatL2,8,1,1,0.0,0.0,0.0,2.0375e-05,2.451380563410477e-07,108,0,[3]
