precision,precision,recall,recall,ndcg,ndcg,search_time_mean,search_time_mean
mean,std,mean,std,mean,std,mean,std
0.2997,0.4583,0.0042,0.0072,0.2997,0.4583,0.0,0.0
0.2763,0.2249,0.0194,0.0158,0.5278,0.3592,0.0,0.0
0.276,0.1781,0.0386,0.0226,0.5792,0.2621,0.0,0.0
0.2693,0.1445,0.0753,0.0308,0.5992,0.1923,0.0,0.0
0.2562,0.11,0.1795,0.0359,0.6199,0.1407,0.0,0.0
0.3118,0.4634,0.0044,0.0075,0.3118,0.4634,0.0,0.0
0.2782,0.2239,0.0197,0.0163,0.54,0.3574,0.0,0.0
0.2656,0.1709,0.0378,0.0225,0.5843,0.2659,0.0,0.0
0.2557,0.1345,0.0722,0.0298,0.6001,0.1903,0.0,0.0
0.25,0.1107,0.1747,0.0392,0.6162,0.14,0.0,0.0
0.2866,0.4524,0.004,0.007,0.2866,0.4524,0.0001,0.0
0.2704,0.2284,0.0189,0.0163,0.5122,0.3604,0.0001,0.0
0.2666,0.1756,0.0371,0.0218,0.5647,0.2631,0.0001,0.0
0.2618,0.1431,0.0727,0.0287,0.5905,0.1895,0.0001,0.0
0.2533,0.1157,0.1761,0.0386,0.612,0.1411,0.0001,0.0
