model,index_type,query_idx,query_label,k,precision,recall,ndcg,search_time_mean,search_time_std,total_relevant_in_db,relevant_retrieved,retrieved_labels
SuperEnsemble_mega_all,FlatL2,0,2,1,0.0,0.0,0.0,0.000199542,5.589073351340692e-05,40,0,[4]
SuperEnsemble_mega_all,FlatL2,0,2,5,0.2,0.025,0.6309297535714575,0.0001425,4.086308439981821e-06,40,1,"[4, 2, 1, 1, 1]"
SuperEnsemble_mega_all,FlatL2,0,2,10,0.1,0.025,0.6309297535714575,0.00014265266666666667,3.898659969214494e-06,40,1,"[4, 2, 1, 1, 1]"
SuperEnsemble_mega_all,FlatL2,0,2,20,0.2,0.1,0.5498378024567702,0.000145139,5.870163370810049e-06,40,4,"[4, 2, 1, 1, 1]"
SuperEnsemble_mega_all,FlatL2,0,2,50,0.16,0.2,0.5533478623099053,0.000144278,1.72703271538208e-06,40,8,"[4, 2, 1, 1, 1]"
SuperEnsemble_mega_all,FlatL2,1,1,1,0.0,0.0,0.0,0.00013793066666666664,2.264528403197648e-07,108,0,[5]
SuperEnsemble_mega_all,FlatL2,1,1,5,0.2,0.009259259259259259,0.43067655807339306,0.00013893066666666667,2.266367627332826e-07,108,1,"[5, 2, 2, 1, 3]"
SuperEnsemble_mega_all,FlatL2,1,1,10,0.2,0.018518518518518517,0.46845052016107697,0.00013920866666666665,3.242656661168774e-07,108,2,"[5, 2, 2, 1, 3]"
SuperEnsemble_mega_all,FlatL2,1,1,20,0.25,0.046296296296296294,0.5170727380298997,0.00014086066666666664,1.1616253938148717e-06,108,5,"[5, 2, 2, 1, 3]"
SuperEnsemble_mega_all,FlatL2,1,1,50,0.38,0.17592592592592593,0.6293512975848083,0.000183972,6.118695926965701e-05,108,19,"[5, 2, 2, 1, 3]"
SuperEnsemble_mega_all,FlatL2,2,3,1,0.0,0.0,0.0,0.00015116633333333334,1.5462362914150244e-05,34,0,[1]
SuperEnsemble_mega_all,FlatL2,2,3,5,0.2,0.029411764705882353,0.6309297535714575,0.0001385,9.480390287324673e-07,34,1,"[1, 3, 1, 1, 2]"
SuperEnsemble_mega_all,FlatL2,2,3,10,0.2,0.058823529411764705,0.5714285040141098,0.00013925,1.6794703530180777e-06,34,2,"[1, 3, 1, 1, 2]"
SuperEnsemble_mega_all,FlatL2,2,3,20,0.2,0.11764705882352941,0.549335439553408,0.000134736,2.597781104455621e-07,34,4,"[1, 3, 1, 1, 2]"
SuperEnsemble_mega_all,FlatL2,2,3,50,0.14,0.20588235294117646,0.540508908415743,0.00013640266666666665,7.670490350833004e-07,34,7,"[1, 3, 1, 1, 2]"
SuperEnsemble_mega_all,FlatL2,3,1,1,0.0,0.0,0.0,0.000132764,3.068256834099779e-07,108,0,[2]
SuperEnsemble_mega_all,FlatL2,3,1,5,0.6,0.027777777777777776,0.6182885020492784,0.000133125,4.136334931635332e-07,108,3,"[2, 4, 1, 1, 1]"
SuperEnsemble_mega_all,FlatL2,3,1,10,0.5,0.046296296296296294,0.6746579650586143,0.00013409733333333333,2.893375575728499e-07,108,5,"[2, 4, 1, 1, 1]"
SuperEnsemble_mega_all,FlatL2,3,1,20,0.3,0.05555555555555555,0.6719527591449052,0.00013465266666666667,3.0867602577603736e-07,108,6,"[2, 4, 1, 1, 1]"
SuperEnsemble_mega_all,FlatL2,3,1,50,0.38,0.17592592592592593,0.6948430727076464,0.000135861,3.1569077697434666e-07,108,19,"[2, 4, 1, 1, 1]"
SuperEnsemble_mega_all,FlatL2,4,2,1,0.0,0.0,0.0,0.000132778,7.06021718268402e-08,40,0,[4]
SuperEnsemble_mega_all,FlatL2,4,2,5,0.2,0.025,0.38685280723454163,0.00015704133333333334,3.323380028759208e-05,40,1,"[4, 5, 3, 4, 2]"
SuperEnsemble_mega_all,FlatL2,4,2,10,0.1,0.025,0.38685280723454163,0.000132819,3.529042646384427e-06,40,1,"[4, 5, 3, 4, 2]"
SuperEnsemble_mega_all,FlatL2,4,2,20,0.05,0.025,0.38685280723454163,0.00013319433333333335,1.8339249954370786e-06,40,1,"[4, 5, 3, 4, 2]"
SuperEnsemble_mega_all,FlatL2,4,2,50,0.12,0.15,0.39778502186132425,0.00014479166666666666,3.954994507651756e-06,40,6,"[4, 5, 3, 4, 2]"
SuperEnsemble_mega_all,FlatL2,5,3,1,0.0,0.0,0.0,0.00013227766666666665,1.4878219726238155e-06,34,0,[4]
SuperEnsemble_mega_all,FlatL2,5,3,5,0.0,0.0,0.0,0.00013747233333333335,1.5992311347088708e-06,34,0,"[4, 5, 4, 1, 5]"
SuperEnsemble_mega_all,FlatL2,5,3,10,0.1,0.029411764705882353,0.31546487678572877,0.00013286133333333333,1.0716953339867114e-06,34,1,"[4, 5, 4, 1, 5]"
SuperEnsemble_mega_all,FlatL2,5,3,20,0.3,0.17647058823529413,0.4739380391463814,0.00013941666666666665,4.458233157753068e-06,34,6,"[4, 5, 4, 1, 5]"
SuperEnsemble_mega_all,FlatL2,5,3,50,0.2,0.29411764705882354,0.5108172091720127,0.000134042,6.776252651724256e-07,34,10,"[4, 5, 4, 1, 5]"
SuperEnsemble_mega_all,FlatL2,6,5,1,0.0,0.0,0.0,0.000131167,1.3177984165518893e-06,56,0,[4]
SuperEnsemble_mega_all,FlatL2,6,5,5,0.6,0.05357142857142857,0.7328286204777911,0.00013106966666666668,1.876598577805659e-07,56,3,"[4, 5, 5, 5, 4]"
SuperEnsemble_mega_all,FlatL2,6,5,10,0.8,0.14285714285714285,0.7984658817584759,0.00013718033333333333,2.9774481616907378e-06,56,8,"[4, 5, 5, 5, 4]"
SuperEnsemble_mega_all,FlatL2,6,5,20,0.75,0.26785714285714285,0.8372894912525317,0.00013888866666666666,6.544886570615431e-06,56,15,"[4, 5, 5, 5, 4]"
SuperEnsemble_mega_all,FlatL2,6,5,50,0.48,0.42857142857142855,0.8439425208391871,0.00013680566666666666,3.9688723279485265e-06,56,24,"[4, 5, 5, 5, 4]"
