model,index_type,query_idx,query_label,k,precision,recall,ndcg,search_time_mean,search_time_std,total_relevant_in_db,relevant_retrieved,retrieved_labels
DenseNet121_AdvancedFT_TTA,FlatL2,0,2,1,0.0,0.0,0.0,3.377766666666667e-05,1.1281682685762006e-05,40,0,[4]
DenseNet121_AdvancedFT_TTA,FlatL2,0,2,5,0.4,0.05,0.5012658353418871,3.8541666666666664e-05,2.1662436340869466e-05,40,2,"[4, 1, 5, 2, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,0,2,10,0.2,0.05,0.5012658353418871,2.019433333333333e-05,1.2292475566603966e-06,40,2,"[4, 1, 5, 2, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,0,2,20,0.2,0.1,0.5016430802545498,2.0819666666666666e-05,8.633501928855726e-07,40,4,"[4, 1, 5, 2, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,0,2,50,0.12,0.15,0.5079155030880742,2.2083666666666667e-05,1.4980203232562931e-06,40,6,"[4, 1, 5, 2, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,1,1,1,1.0,0.009259259259259259,1.0,1.8291666666666666e-05,5.080828891256054e-07,108,1,[1]
DenseNet121_AdvancedFT_TTA,FlatL2,1,1,5,0.4,0.018518518518518517,1.0,1.8736e-05,2.8920926679482455e-07,108,2,"[1, 1, 2, 2, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,1,1,10,0.5,0.046296296296296294,0.8850504602968671,1.9194e-05,3.410542478844092e-07,108,5,"[1, 1, 2, 2, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,1,1,20,0.35,0.06481481481481481,0.8502374053052395,1.7639333333333332e-05,5.756424430340611e-07,108,7,"[1, 1, 2, 2, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,1,1,50,0.42,0.19444444444444445,0.7932224970314643,1.8055666666666667e-05,6.754378004096472e-07,108,21,"[1, 1, 2, 2, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,2,3,1,0.0,0.0,0.0,1.5805666666666667e-05,3.215030672049992e-07,34,0,[1]
DenseNet121_AdvancedFT_TTA,FlatL2,2,3,5,0.0,0.0,0.0,1.6402666666666668e-05,3.0475162929105985e-07,34,0,"[1, 1, 1, 2, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,2,3,10,0.2,0.058823529411764705,0.38162168437253385,1.7e-05,2.378921324185957e-07,34,2,"[1, 1, 1, 2, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,2,3,20,0.2,0.11764705882352941,0.4410116541605656,1.755566666666667e-05,4.6909439940757716e-07,34,4,"[1, 1, 1, 2, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,2,3,50,0.12,0.17647058823529413,0.46547238109516426,1.8152666666666666e-05,6.108989732808163e-07,34,6,"[1, 1, 1, 2, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,3,1,1,1.0,0.009259259259259259,1.0,1.5653e-05,1.9363367475725908e-07,108,1,[1]
DenseNet121_AdvancedFT_TTA,FlatL2,3,1,5,0.6,0.027777777777777776,0.9060254355346823,1.6153e-05,1.3778485644898233e-07,108,3,"[1, 2, 1, 1, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,3,1,10,0.4,0.037037037037037035,0.8712137160156971,1.6888666666666666e-05,2.6433606555965e-07,108,4,"[1, 2, 1, 1, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,3,1,20,0.35,0.06481481481481481,0.8230560939402223,1.7680666666666668e-05,4.438816158491912e-07,108,7,"[1, 2, 1, 1, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,3,1,50,0.44,0.2037037037037037,0.7956187981701671,1.841666666666667e-05,5.47705719849223e-07,108,22,"[1, 2, 1, 1, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,4,2,1,1.0,0.025,1.0,1.575e-05,3.2791462303471614e-07,40,1,[2]
DenseNet121_AdvancedFT_TTA,FlatL2,4,2,5,0.4,0.05,1.0,1.6208333333333335e-05,2.045325293334915e-07,40,2,"[2, 2, 5, 1, 4]"
DenseNet121_AdvancedFT_TTA,FlatL2,4,2,10,0.2,0.05,1.0,1.6555666666666668e-05,1.9970700761087198e-07,40,2,"[2, 2, 5, 1, 4]"
DenseNet121_AdvancedFT_TTA,FlatL2,4,2,20,0.2,0.1,0.8158858002212525,1.7333333333333332e-05,3.1180478223116176e-07,40,4,"[2, 2, 5, 1, 4]"
DenseNet121_AdvancedFT_TTA,FlatL2,4,2,50,0.14,0.175,0.7347871894884943,1.9028e-05,5.616143397979317e-07,40,7,"[2, 2, 5, 1, 4]"
DenseNet121_AdvancedFT_TTA,FlatL2,5,3,1,0.0,0.0,0.0,1.5625333333333334e-05,2.455908974064163e-07,34,0,[4]
DenseNet121_AdvancedFT_TTA,FlatL2,5,3,5,0.0,0.0,0.0,1.6042333333333334e-05,2.1245914639969937e-07,34,0,"[4, 1, 4, 2, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,5,3,10,0.2,0.058823529411764705,0.3889580943680543,1.6514e-05,2.5750469251387763e-07,34,2,"[4, 1, 4, 2, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,5,3,20,0.2,0.11764705882352941,0.44515870710628846,1.712466666666667e-05,2.3800887004946313e-07,34,4,"[4, 1, 4, 2, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,5,3,50,0.2,0.29411764705882354,0.510826866098457,1.8236333333333334e-05,5.945846355977329e-07,34,10,"[4, 1, 4, 2, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,6,5,1,0.0,0.0,0.0,1.5652666666666667e-05,1.9375299280842667e-07,56,0,[4]
DenseNet121_AdvancedFT_TTA,FlatL2,6,5,5,0.6,0.05357142857142857,0.6182885020492784,1.801433333333333e-05,2.3172733018691505e-07,56,3,"[4, 4, 5, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,6,5,10,0.8,0.14285714285714285,0.7367283992687399,1.8375e-05,6.300206345827094e-07,56,8,"[4, 4, 5, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,6,5,20,0.7,0.25,0.7935239512562079,1.743e-05,2.6421329767191254e-07,56,14,"[4, 4, 5, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,6,5,50,0.46,0.4107142857142857,0.806567581873762,1.937466666666667e-05,7.412140191754486e-07,56,23,"[4, 4, 5, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,7,1,1,0.0,0.0,0.0,1.5611e-05,2.1831323062669992e-07,108,0,[2]
DenseNet121_AdvancedFT_TTA,FlatL2,7,1,5,0.4,0.018518518518518517,0.5437713091520254,1.6291666666666665e-05,1.4826178049502694e-07,108,2,"[2, 3, 1, 2, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,7,1,10,0.4,0.037037037037037035,0.5981109640835669,1.7597e-05,6.32838578680746e-07,108,4,"[2, 3, 1, 2, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,7,1,20,0.45,0.08333333333333333,0.6472975954481536,2.387533333333333e-05,8.031405370308626e-06,108,9,"[2, 3, 1, 2, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,7,1,50,0.42,0.19444444444444445,0.706245118327149,1.8014e-05,5.314928660543495e-07,108,21,"[2, 3, 1, 2, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,8,1,1,0.0,0.0,0.0,1.6388666666666668e-05,5.993464959622458e-07,108,0,[4]
DenseNet121_AdvancedFT_TTA,FlatL2,8,1,5,0.0,0.0,0.0,1.780533333333333e-05,2.0784021640566957e-07,108,0,"[4, 4, 4, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,8,1,10,0.0,0.0,0.0,1.834666666666667e-05,2.4124169530899e-07,108,0,"[4, 4, 4, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,8,1,20,0.2,0.037037037037037035,0.3870340378411221,1.898633333333333e-05,2.5533812005957036e-07,108,4,"[4, 4, 4, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,8,1,50,0.36,0.16666666666666666,0.5671243635198481,1.9708333333333332e-05,1.4484986096721746e-06,108,18,"[4, 4, 4, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,9,4,1,0.0,0.0,0.0,1.5555333333333333e-05,1.682247174334246e-07,52,0,[3]
DenseNet121_AdvancedFT_TTA,FlatL2,9,4,5,0.6,0.057692307692307696,0.6182885020492784,1.6236333333333332e-05,1.533978125296736e-07,52,3,"[3, 5, 4, 4, 4]"
DenseNet121_AdvancedFT_TTA,FlatL2,9,4,10,0.3,0.057692307692307696,0.6182885020492784,1.6375333333333332e-05,1.3594688505278654e-07,52,3,"[3, 5, 4, 4, 4]"
DenseNet121_AdvancedFT_TTA,FlatL2,9,4,20,0.25,0.09615384615384616,0.6083035403480818,1.715266666666667e-05,2.5986706003048735e-07,52,5,"[3, 5, 4, 4, 4]"
DenseNet121_AdvancedFT_TTA,FlatL2,9,4,50,0.24,0.23076923076923078,0.6272977808912201,1.925e-05,5.236360058921336e-07,52,12,"[3, 5, 4, 4, 4]"
DenseNet121_AdvancedFT_TTA,FlatL2,10,1,1,0.0,0.0,0.0,1.729166666666667e-05,1.4826178049502694e-07,108,0,[4]
DenseNet121_AdvancedFT_TTA,FlatL2,10,1,5,0.2,0.009259259259259259,0.6309297535714575,1.6083333333333332e-05,1.3594688505278654e-07,108,1,"[4, 1, 4, 4, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,10,1,10,0.3,0.027777777777777776,0.5937751258332797,1.6556e-05,2.079294752233715e-07,108,3,"[4, 1, 4, 4, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,10,1,20,0.3,0.05555555555555555,0.601268296246019,1.908333333333333e-05,3.451785367345748e-07,108,6,"[4, 1, 4, 4, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,10,1,50,0.36,0.16666666666666666,0.6564191500513251,2.4194666666666667e-05,4.905673540798337e-06,108,18,"[4, 1, 4, 4, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,11,5,1,1.0,0.017857142857142856,1.0,1.7499666666666668e-05,2.2281881029711613e-07,56,1,[5]
DenseNet121_AdvancedFT_TTA,FlatL2,11,5,5,0.8,0.07142857142857142,0.9558295932317544,1.7846666666666666e-05,5.612761253508731e-07,56,4,"[5, 5, 1, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,11,5,10,0.6,0.10714285714285714,0.9495662644168644,1.6583e-05,3.026428037582699e-07,56,6,"[5, 5, 1, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,11,5,20,0.6,0.21428571428571427,0.9082941371512369,1.7805666666666668e-05,3.494618084362804e-07,56,12,"[5, 5, 1, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,11,5,50,0.46,0.4107142857142857,0.8801603443704717,2.116666666666667e-05,6.800124181872629e-07,56,23,"[5, 5, 1, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,12,5,1,1.0,0.017857142857142856,1.0,1.7458e-05,3.026428037582699e-07,56,1,[5]
DenseNet121_AdvancedFT_TTA,FlatL2,12,5,5,0.6,0.05357142857142857,0.9674679834891693,2.159666666666667e-05,5.180278070614442e-06,56,3,"[5, 5, 4, 5, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,12,5,10,0.5,0.08928571428571429,0.9042472380494709,1.7625e-05,1.024496299000961e-06,56,5,"[5, 5, 4, 5, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,12,5,20,0.55,0.19642857142857142,0.8677812790436773,1.8e-05,4.0136350938602607e-07,56,11,"[5, 5, 4, 5, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,12,5,50,0.28,0.25,0.854692031572681,2.15e-05,2.041241452319315e-07,56,14,"[5, 5, 4, 5, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,13,1,1,1.0,0.009259259259259259,1.0,1.7361e-05,1.7098148047863742e-07,108,1,[1]
DenseNet121_AdvancedFT_TTA,FlatL2,13,1,5,0.6,0.027777777777777776,0.8854598815714874,1.7791333333333334e-05,3.023213889592039e-07,108,3,"[1, 2, 1, 5, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,13,1,10,0.6,0.05555555555555555,0.857319485235561,1.8319e-05,2.2149191106373764e-07,108,6,"[1, 2, 1, 5, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,13,1,20,0.5,0.09259259259259259,0.8396152122974337,2.0528e-05,3.561854666696364e-06,108,10,"[1, 2, 1, 5, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,13,1,50,0.48,0.2222222222222222,0.8322661602296597,1.7916666666666667e-05,4.821827684833027e-07,108,24,"[1, 2, 1, 5, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,14,1,1,0.0,0.0,0.0,1.7333e-05,2.0718590685661997e-07,108,0,[2]
DenseNet121_AdvancedFT_TTA,FlatL2,14,1,5,0.0,0.0,0.0,1.7888666666666667e-05,1.961042806490692e-07,108,0,"[2, 3, 3, 4, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,14,1,10,0.2,0.018518518518518517,0.3706656904013186,1.825e-05,2.1200157232121335e-07,108,2,"[2, 3, 3, 4, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,14,1,20,0.25,0.046296296296296294,0.4573770220063657,1.9152666666666667e-05,3.0867602577603736e-07,108,5,"[2, 3, 3, 4, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,14,1,50,0.36,0.16666666666666666,0.5925285610471719,1.856966666666667e-05,8.703732277336864e-07,108,18,"[2, 3, 3, 4, 3]"
DenseNet121_AdvancedFT_TTA,FlatL2,15,5,1,1.0,0.017857142857142856,1.0,1.5597333333333334e-05,2.0784021640566957e-07,56,1,[5]
DenseNet121_AdvancedFT_TTA,FlatL2,15,5,5,1.0,0.08928571428571429,1.0,1.7958666666666668e-05,1.5590239111558088e-07,56,5,"[5, 5, 5, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,15,5,10,0.7,0.125,1.0,1.980533333333333e-05,1.965289857049647e-06,56,7,"[5, 5, 5, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,15,5,20,0.55,0.19642857142857142,0.9645211800815222,1.9278e-05,3.1569077697434666e-07,56,11,"[5, 5, 5, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,15,5,50,0.42,0.375,0.9076770789630557,2.093066666666667e-05,6.087809312242148e-07,56,21,"[5, 5, 5, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,16,5,1,0.0,0.0,0.0,1.5528e-05,1.5697770542341354e-07,56,0,[4]
DenseNet121_AdvancedFT_TTA,FlatL2,16,5,5,0.4,0.03571428571428571,0.5012658353418871,1.6055e-05,1.1961883909596627e-07,56,2,"[4, 2, 3, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,16,5,10,0.6,0.10714285714285714,0.6292000639871788,1.870866666666667e-05,2.067161231146607e-07,56,6,"[4, 2, 3, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,16,5,20,0.55,0.19642857142857142,0.6907661067893519,1.9625e-05,2.7003086243366085e-07,56,11,"[4, 2, 3, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,16,5,50,0.48,0.42857142857142855,0.7459005994582439,2.1569666666666668e-05,7.909695878407013e-07,56,24,"[4, 2, 3, 5, 5]"
DenseNet121_AdvancedFT_TTA,FlatL2,17,1,1,0.0,0.0,0.0,1.7042e-05,4.576308556030723e-07,108,0,[2]
DenseNet121_AdvancedFT_TTA,FlatL2,17,1,5,0.8,0.037037037037037035,0.7606395682357036,1.6375e-05,8.99592500339274e-08,108,4,"[2, 1, 1, 1, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,17,1,10,0.6,0.05555555555555555,0.7982650576674577,1.826366666666667e-05,4.529056806395296e-07,108,6,"[2, 1, 1, 1, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,17,1,20,0.55,0.10185185185185185,0.8028532306270443,1.9194666666666668e-05,3.0721798269126254e-07,108,11,"[2, 1, 1, 1, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,17,1,50,0.5,0.23148148148148148,0.8126687174354853,2.0056e-05,6.238124718214602e-07,108,25,"[2, 1, 1, 1, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,18,2,1,0.0,0.0,0.0,1.7374666666666668e-05,1.8022640082839019e-07,40,0,[4]
DenseNet121_AdvancedFT_TTA,FlatL2,18,2,5,0.4,0.05,0.6240505200038379,1.7444333333333332e-05,7.789079249536208e-07,40,2,"[4, 2, 3, 3, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,18,2,10,0.3,0.075,0.6256646589861505,1.670833333333333e-05,1.7023970029213382e-07,40,3,"[4, 2, 3, 3, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,18,2,20,0.25,0.125,0.6268142306275851,1.909733333333333e-05,1.0930487434490539e-07,40,5,"[4, 2, 3, 3, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,18,2,50,0.2,0.25,0.6200116039014463,2.0417e-05,5.344087075138903e-07,40,10,"[4, 2, 3, 3, 2]"
DenseNet121_AdvancedFT_TTA,FlatL2,19,1,1,1.0,0.009259259259259259,1.0,1.7375333333333333e-05,1.7976342478070698e-07,108,1,[1]
DenseNet121_AdvancedFT_TTA,FlatL2,19,1,5,0.8,0.037037037037037035,0.9828920819566879,1.7763666666666667e-05,1.87634988445356e-07,108,4,"[1, 1, 1, 5, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,19,1,10,0.6,0.05555555555555555,0.9404511968899847,1.8319333333333333e-05,1.8681958022529532e-07,108,6,"[1, 1, 1, 5, 1]"
DenseNet121_AdvancedFT_TTA,FlatL2,19,1,20,0.65,0.12037037037037036,0.9092925305413937,1.7208333333333333e-05,1.5590239111558088e-07,108,13,"[1, 1, 1, 5, 1]"
